Paper Title,Figure Number,Point ID,P/e_Source,e/D_Source,Alpha_Source,Geometry_Source,Aspect_Ratio_Source,Standard_Ratio,Standard_Ratio_Method,Standard_Baseline_Type,Processing_Note,Prandtl
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 1,WARNING,WARNING,raw,raw,raw,0.20551606507986492,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 2,WARNING,WARNING,raw,raw,raw,0.2065068703203137,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 3,WARNING,WARNING,raw,raw,raw,0.2250071945855907,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 4,WARNING,WARNING,raw,raw,raw,0.20886075949367086,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 5,WARNING,WARNING,raw,raw,raw,0.23814674221399326,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 6,WARNING,WARNING,raw,raw,raw,0.23708876026952985,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 7,WARNING,WARNING,raw,raw,raw,0.2387531828511903,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 8,WARNING,WARNING,raw,raw,raw,0.24155788845330559,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 9,WARNING,WARNING,raw,raw,raw,0.2423918176980168,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 10,WARNING,WARNING,raw,raw,raw,0.24166940622831373,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 11,WARNING,WARNING,raw,raw,raw,0.24133793620975397,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 12,WARNING,WARNING,raw,raw,raw,0.24268716589744013,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 13,WARNING,WARNING,raw,raw,raw,0.2419275265816327,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 14,WARNING,WARNING,raw,raw,raw,0.2448179436814612,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 15,WARNING,WARNING,raw,raw,raw,0.24117163143364118,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 16,WARNING,WARNING,raw,raw,raw,0.9333884262536584,Dittus-Boelert,Raw Data,Converted St to Nu: 17.0400. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 17,WARNING,WARNING,raw,raw,raw,1.0191611524964108,Dittus-Boelert,Raw Data,Converted St to Nu: 24.3530. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 18,WARNING,WARNING,raw,raw,raw,1.027507510235397,Dittus-Boelert,Raw Data,Converted St to Nu: 32.6600. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 19,WARNING,WARNING,raw,raw,raw,0.8720631309474144,Dittus-Boelert,Raw Data,Converted St to Nu: 38.3400. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 20,WARNING,WARNING,raw,raw,raw,1.0006858974657713,Dittus-Boelert,Raw Data,Converted St to Nu: 55.3800. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 21,WARNING,WARNING,raw,raw,raw,0.9926974333868901,Dittus-Boelert,Raw Data,Converted St to Nu: 65.6750. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 22,WARNING,WARNING,raw,raw,raw,0.9460854015299223,Dittus-Boelert,Raw Data,Converted St to Nu: 72.4200. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 23,WARNING,WARNING,raw,raw,raw,0.9136941941773732,Dittus-Boelert,Raw Data,Converted St to Nu: 88.0400. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 24,WARNING,WARNING,raw,raw,raw,1.017033161850348,Dittus-Boelert,Raw Data,Converted St to Nu: 117.1500. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 25,WARNING,WARNING,raw,raw,raw,0.8949843777610489,Dittus-Boelert,Raw Data,Converted St to Nu: 119.2800. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 26,WARNING,WARNING,raw,raw,raw,0.9230066129213624,Dittus-Boelert,Raw Data,Converted St to Nu: 139.1600. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 27,WARNING,WARNING,raw,raw,raw,0.8464185627595888,Dittus-Boelert,Raw Data,Converted St to Nu: 142.0000. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 5,pt 28,WARNING,WARNING,raw,raw,raw,0.8319302514383956,Dittus-Boelert,Raw Data,Converted St to Nu: 153.3600. Raw Nu normalized using Dittus-Boelert,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 1,raw,raw,raw,raw,raw,0.9748073034104041,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 2,raw,raw,raw,raw,raw,1.0325343516015686,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 3,raw,raw,raw,raw,raw,1.0759493670886076,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 4,raw,raw,raw,raw,raw,1.1095657332163145,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer and Friction in Channels With Two Opposite Rib-Roughened Walls,Fig 6,pt 5,raw,raw,raw,raw,raw,1.1557121313326144,Blasius,Raw Data,Raw f normalized using Blasius,0.71
