Paper Title,Figure Number,Point ID,Variable,Value,Reynolds number (Re),Geometry,P/e,e/D,Alpha,Aspect ratio,Number of ribbed walls,Reading on,Constant factor,Dittus-Boelter Value,Investigation
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 1,f,0.0071,6000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 2,f,0.0069,6500,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 3,f,0.0075,7000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 4,f,0.0068,11000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 5,f,0.0065,14000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 6,f,0.0069,15000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 7,f,0.0062,20000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 8,f,0.0058,30000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 9,f,0.0056,35000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 10,f,0.0054,40000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 11,f,0.0054,45000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 12,f,0.005,50000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 13,f,0.0048,55000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 14,f,0.0049,60000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 15,f,0.0047,70000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 16,f,0.0045,75000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 17,f,0.0046,80000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 18,f,0.0044,90000,N/A,N/A,N/A,N/A,1,0,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 19,Nu,26,6000,N/A,N/A,N/A,N/A,1,0,Smooth wall,Constant heat flux,25,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 20,Nu,34,10000,N/A,N/A,N/A,N/A,1,0,Smooth wall,Constant heat flux,38,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 21,Nu,46,16000,N/A,N/A,N/A,N/A,1,0,Smooth wall,Constant heat flux,55,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 22,Nu,58,20000,N/A,N/A,N/A,N/A,1,0,Smooth wall,Constant heat flux,65,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 23,Nu,73,30000,N/A,N/A,N/A,N/A,1,0,Smooth wall,Constant heat flux,90,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 24,Nu,95,40000,N/A,N/A,N/A,N/A,1,0,Smooth wall,Constant heat flux,115,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 25,Nu,110,45000,N/A,N/A,N/A,N/A,1,0,Smooth wall,Constant heat flux,125,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 26,Nu,125,60000,N/A,N/A,N/A,N/A,1,0,Smooth wall,Constant heat flux,155,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 27,Nu,135,70000,N/A,N/A,N/A,N/A,1,0,Smooth wall,Constant heat flux,175,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 3,pt 28,Nu,140,80000,N/A,N/A,N/A,N/A,1,0,Smooth wall,Constant heat flux,195,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 1,f,0.035,10000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 2,f,0.034,15000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 3,f,0.033,20000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 4,f,0.032,30000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 5,f,0.031,40000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 6,f,0.031,50000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 7,f,0.031,60000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 8,f,0.031,70000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 9,f,0.031,80000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 10,f,0.031,90000,Straight,10,0.063,90,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 11,f,0.043,12000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 12,f,0.046,20000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 13,f,0.045,30000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 14,f,0.044,40000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 15,f,0.045,50000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 16,f,0.045,60000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 17,f,0.046,70000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 18,f,0.045,80000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 19,f,0.046,90000,Straight,10,0.063,75,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 20,f,0.054,7000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 21,f,0.048,13000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 22,f,0.047,20000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 23,f,0.046,30000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 24,f,0.046,40000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 25,f,0.045,50000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 26,f,0.045,60000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 27,f,0.045,70000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 28,f,0.045,80000,Straight,10,0.063,60,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 29,f,0.036,8000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 30,f,0.034,14000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 31,f,0.032,20000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 32,f,0.03,30000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 33,f,0.03,40000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 34,f,0.03,50000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 35,f,0.031,60000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 36,f,0.03,70000,Straight,10,0.063,45,1,2,N/A,Constant heat flux,N/A,Experimental
