Paper Title,Figure Number,Point ID,Variable,Value,Reynolds number (Re),Geometry,P/e,e/D,Alpha,Aspect ratio,Number of ribbed walls,Reading on
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 1,Nu/Nu_0,2.4,10000,Straight,10.0,0.047,90.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 2,Nu/Nu_0,3.3,10000,Straight,10.0,0.047,60.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 3,Nu/Nu_0,3.0,10000,Straight,10.0,0.047,45.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 4,Nu/Nu_0,2.6,10000,Straight,10.0,0.047,30.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 9,Nu/Nu_0,2.2,30000,Straight,10.0,0.047,90.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 10,Nu/Nu_0,2.85,30000,Straight,10.0,0.047,60.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 11,Nu/Nu_0,2.7,30000,Straight,10.0,0.047,45.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 12,Nu/Nu_0,2.6,30000,Straight,10.0,0.047,30.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 17,Nu/Nu_0,2.2,60000,Straight,10.0,0.047,90.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 18,Nu/Nu_0,2.85,60000,Straight,10.0,0.047,60.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 19,Nu/Nu_0,2.65,60000,Straight,10.0,0.047,45.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 20,Nu/Nu_0,2.5,60000,Straight,10.0,0.047,30.0,1.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 25,Nu/Nu_0,3.2,10000,Straight,10.0,0.047,90.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 26,Nu/Nu_0,3.2,10000,Straight,10.0,0.047,60.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 27,Nu/Nu_0,2.85,10000,Straight,10.0,0.047,45.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 28,Nu/Nu_0,2.35,10000,Straight,10.0,0.047,30.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 33,Nu/Nu_0,2.6,30000,Straight,10.0,0.047,90.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 34,Nu/Nu_0,2.55,30000,Straight,10.0,0.047,60.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 35,Nu/Nu_0,2.3,30000,Straight,10.0,0.047,45.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 36,Nu/Nu_0,2.05,30000,Straight,10.0,0.047,30.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 41,Nu/Nu_0,2.1,60000,Straight,10.0,0.047,90.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 42,Nu/Nu_0,2.45,60000,Straight,10.0,0.047,60.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 43,Nu/Nu_0,2.2,60000,Straight,10.0,0.047,45.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 44,Nu/Nu_0,1.9,60000,Straight,10.0,0.047,30.0,2.0,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 49,Nu/Nu_0,2.3,10000,Straight,10.0,0.047,90.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 50,Nu/Nu_0,3.4,10000,Straight,10.0,0.047,60.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 51,Nu/Nu_0,3.4,10000,Straight,10.0,0.047,45.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 52,Nu/Nu_0,2.5,10000,Straight,10.0,0.047,30.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 57,Nu/Nu_0,2.15,30000,Straight,10.0,0.047,90.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 58,Nu/Nu_0,3.05,30000,Straight,10.0,0.047,60.0,0.5,2,Ribbed wall
Heat transfer performance comparisons of five different rectangular channels,Fig 9,pt 59,Nu/Nu_0,2.95,30000,Straight,10.0,0.047,45.0,0.5,2,Ribbed wall
